Player,matches,wins,loss,win_pct,set_win_loss,set_win,set_loss,set_won_pct,games_win_loss,game_win,game_loss,game_won_pct,tiebreak_win_loss,tiebreak_win,tiebreak_loss,tiebreak_pct,MS,hold_pct,break_pct,ace_pct,df_pct,first_serve_pct,first_serve_win_pct,second_serve_win_pct,serve_points_won,return_points_won,total_points_won
Novak Djokovic,12,8,4,66.70,22-8,22,8,0.73,166-119,166,119,0.58,3-3,3,3,0.50,11,0.87,0.28,0.11,0.03,0.66,0.75,0.55,0.68,0.40,0.54
Jannik Sinner,7,7,0,100.00,21-2,21,2,0.91,137-78,137,78,0.64,4-0,4,0,1.00,7,0.95,0.29,0.09,0.03,0.59,0.81,0.62,0.73,0.42,0.57
Carlos Alcaraz,19,15,4,0.79,37-14,37,14,0.73,279-185,279,185,0.60,2-2,2,2,0.50,19,0.86,0.34,0.08,0.04,0.65,0.74,0.56,0.68,0.43,0.55
Jack Draper,16,13,3,0.81,30-15,30,15,0.67,243-203,243,203,0.55,4-3,4,3,0.57,16,0.85,0.24,0.11,0.03,0.63,0.74,0.55,0.67,0.38,0.52
Alexander Zverev,18,12,6,0.67,31-14,31,14,0.69,246-205,246,205,0.55,6-4,6,4,0.60,17,0.86,0.24,0.11,0.03,0.70,0.74,0.55,0.68,0.39,0.53
Daniil Medvedev,19,12,7,0.63,27-19,27,19,0.59,240-203,240,203,0.54,4-4,4,4,0.50,19,0.82,0.28,0.11,0.05,0.60,0.75,0.53,0.66,0.41,0.53
Grigor Dimitrov,10,5,5,0.50,10-8,10,8,0.56,89-92,89,92,0.49,2-1,2,1,0.67,9,0.82,0.13,0.10,0.05,0.62,0.72,0.55,0.66,0.33,0.50
Tomas Machac,16,12,4,0.75,27-10,27,10,0.73,198-161,198,161,0.55,6-2,6,2,0.75,14,0.83,0.25,0.09,0.04,0.62,0.75,0.54,0.67,0.38,0.52
Taylor Fritz,14,9,5,0.64,22-10,22,10,0.69,186-130,186,130,0.59,2-4,2,4,0.33,13,0.89,0.29,0.13,0.02,0.67,0.78,0.56,0.71,0.40,0.55
Holger Rune,18,11,7,0.61,28-20,28,20,0.58,240-231,240,231,0.51,4-3,4,3,0.57,16,0.81,0.20,0.05,0.03,0.63,0.71,0.54,0.65,0.37,0.51
Tommy Paul,19,13,6,0.68,32-18,32,18,0.64,274-208,274,208,0.57,2-7,2,7,0.22,18,0.83,0.32,0.09,0.03,0.61,0.73,0.53,0.66,0.42,0.53
Stefanos Tsitsipas,15,10,5,0.67,22-15,22,15,0.60,200-182,200,182,0.52,4-4,4,4,0.50,15,0.87,0.18,0.08,0.03,0.63,0.78,0.56,0.70,0.35,0.52
Alex De Minaur,21,15,6,0.71,37-15,37,15,0.71,279-210,279,210,0.57,2-2,2,2,0.50,20,0.84,0.29,0.05,0.04,0.54,0.74,0.57,0.66,0.41,0.53