Player,total_matches_won_2024,total_matches_2023,matches_win_2023,matches_loss,match_win_pct,serve_points_won_pct,serve_points_won_pct_excadf,aces,ace_pct,df,df_pct,total_sets,set_win,set_loss
Jannik Sinner,5,2,1,1,50,66.1,65,16,6.2,5,1.9,8,5,3
Alexander Zverev,6,6,1,5,83.3,64.1,66,43,7,38,6.1,20,15,5
Carlos Alcaraz,7,6,1,1,83.3,66.5,67,20,4,11,2.2,20,16,4
Taylor Fritz,3,3,1,2,66.7,68.8,67,31,11.2,7,2.5,11,7,4
Novak Djokovic,4,7,7,0,100,66.9,67,50,6.9,22,3,23,21,2
Casper Ruud,4,7,1,6,85.7,64.8,65,36,4.9,19,2.6,24,18,6
Jack Draper,0,1,0,1,0,48.1,49,1,1.9,2,3.8,2,0,2
Daniil Medvedev,3,1,0,1,0,58.9,61,14,7.6,15,8.1,5,2,3
Andrey Rublev,2,3,1,2,66.7,67,67,22,6.3,10,2.8,13,8,5
Stefanos Tsitsipas,4,5,1,4,80,66.6,67,32,6.8,18,3.8,16,12,4
Alex De Minaur,4,2,1,1,50,58.9,60,6,2.8,8,3.7,7,3,4
Holger Rune,3,4,3,1,75,61.6,65,15,3.1,32,6.6,16,10,6
Tommy Paul,2,2,1,1,50,67,69,4,2.1,7,3.6,7,4,3
Ben Shelton,2,1,0,1,0,57.3,63,3,2.6,13,11.1,4,1,3
Grigor Dimitrov,4,4,3,1,75,59.8,60,19,5.4,15,4.2,12,9,3
Lorenzo Musetti,2,4,3,1,75,65.3,66,10,3.3,7,2.3,12,9,3
Frances Tiafoe,1,3,2,1,66.7,63.9,62,28,8.3,6,1.8,11,7,4
Arthur Fils,0,1,0,1,0,51.8,52,5,4.5,5,4.5,4,1,3
Felix Auger Aliassime,3,1,0,1,0,48.2,51,3,3.5,8,9.4,3,0,3
Ugo Humbert,0,2,1,1,50,64.7,64,11,6,5,2.7,6,3,3